agent_name,model,generation_prompt_strategy,build_tool,total_experiments,unique_projects,unique_samples,compilation_success_count,compilation_success_rate,target_pass_count,target_pass_rate,module_pass_count,module_pass_rate,initial_failure_count,repair_attempted_count,repair_success_count,repair_success_rate,avg_repair_attempts,avg_total_llm_attempts,avg_llm_input_tokens,avg_llm_output_tokens,avg_llm_total_tokens,avg_llm_call_count,avg_elapsed_seconds,avg_line_coverage,avg_branch_coverage,avg_method_coverage,avg_mutation_score,avg_test_smell_total
Qwen-2.5-7b-v2,ollama/Qwen-2.5-7b-v2,zero-shot,,15,14,14,0,0.0,0,0.0,0,0.0,0,0,0,,,,0.0,0.0,0.0,0.0,5.964933333333334,,,,,
Qwen-2.5-7b-v2,ollama/Qwen-2.5-7b-v2,zero-shot-project-aware,,15,14,14,0,0.0,0,0.0,0,0.0,0,0,0,,,,0.0,0.0,0.0,0.0,1.4942666666666669,,,,,
Qwen-2.5-7b-v2,ollama/Qwen-2.5-7b-v2,few-shot,,15,14,14,0,0.0,0,0.0,0,0.0,0,0,0,,,,0.0,0.0,0.0,0.0,1.2144000000000001,,,,,
Qwen-2.5-7b-v2,ollama/Qwen-2.5-7b-v2,zero-shot,maven,60,38,38,17,0.2833333333333333,6,0.1,6,0.1,47,23,2,0.08695652173913043,2.9565217391304346,3.869565217391304,12849.716666666667,1242.7166666666667,14092.433333333332,2.1333333333333333,292.23384999999996,92.22200000000001,69.44333333333333,85.0,65.0,3.3333333333333335
Qwen-2.5-7b-v2,ollama/Qwen-2.5-7b-v2,zero-shot-project-aware,maven,58,38,38,17,0.29310344827586204,8,0.13793103448275862,8,0.13793103448275862,43,19,2,0.10526315789473684,2.8947368421052633,3.789473684210526,11570.413793103447,1337.2068965517242,12907.620689655172,1.9310344827586208,272.8561896551724,55.355,35.61571428571428,52.3175,40.17285714285714,10.5
Qwen-2.5-7b-v2,ollama/Qwen-2.5-7b-v2,few-shot,maven,57,38,38,19,0.3333333333333333,7,0.12280701754385964,7,0.12280701754385964,45,20,3,0.15,2.9,3.75,12689.754385964912,1240.017543859649,13929.771929824561,2.0701754385964914,262.3154385964912,74.84400000000001,53.9275,67.75800000000001,55.44833333333333,9.571428571428571
qwen-coder-2.5-7b,ollama/qwen-unit-test-elite-dataset-07-07:latest,zero-shot,maven,14,14,14,5,0.35714285714285715,1,0.07142857142857142,1,0.07142857142857142,9,2,0,0.0,3.0,4.0,,,,,284.3584285714286,94.44,50.0,87.5,62.5,6.0
qwen-coder-2.5-7b,ollama/qwen-unit-test-elite-dataset-07-07:latest,zero-shot,gradle,2,2,2,1,0.5,0,0.0,0,0.0,2,0,0,,,,,,,,535.4085,,,,,
Qwen-2.5-7b-v2,ollama/Qwen-2.5-7b-v2,zero-shot,gradle,19,13,13,6,0.3157894736842105,0,0.0,0,0.0,16,6,0,0.0,3.0,4.0,5337.473684210527,971.0526315789474,6308.526315789473,1.736842105263158,250.96315789473684,,,,,
Qwen-2.5-7b-v2,ollama/Qwen-2.5-7b-v2,zero-shot-project-aware,gradle,18,13,13,8,0.4444444444444444,1,0.05555555555555555,1,0.05555555555555555,15,4,0,0.0,3.0,4.0,3903.3333333333335,796.8333333333334,4700.166666666667,1.3333333333333333,230.07188888888888,,,,,
Qwen-2.5-7b-v2,ollama/Qwen-2.5-7b-v2,few-shot,gradle,18,13,13,8,0.4444444444444444,0,0.0,0,0.0,17,5,0,0.0,3.0,4.0,5347.888888888889,1042.5,6390.388888888889,1.6666666666666667,195.00738888888887,,,,,
qwen-coder-2.5-7b,ollama/qwen-unit-test-elite-dataset-07-07:latest,zero-shot,,3,3,3,0,0.0,0,0.0,0,0.0,0,0,0,,,,,,,,4.523,,,,,
Qwen-2.5-7b-v2,ollama/Qwen-2.5-7b-v2,zero-shot,unknown,1,1,1,0,0.0,0,0.0,0,0.0,1,0,0,,,,0.0,0.0,0.0,0.0,3.925,,,,,
Qwen-2.5-7b-v2,ollama/Qwen-2.5-7b-v2,zero-shot-project-aware,unknown,1,1,1,0,0.0,0,0.0,0,0.0,1,0,0,,,,0.0,0.0,0.0,0.0,0.16,,,,,
Qwen-2.5-7b-v2,ollama/Qwen-2.5-7b-v2,few-shot,unknown,1,1,1,0,0.0,0,0.0,0,0.0,1,0,0,,,,0.0,0.0,0.0,0.0,0.161,,,,,
