Generator(LLM),Prompt_Technique,Compilation,Project_ID,Class_Under_Test,Branch_Coverage%,Line_Coverage%,Method_Coverage%,Mutation_Score%,NumberOfMethods,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Handling,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test,run_id,shard_id,input_id,sample_id,project_id,sample_file,repository_url,repo_name,repo_owner,repo_folder,output_layout,experiment_dir,reports_dir,agent_name,model,generation_prompt_strategy,initial_failure_state,final_failure_state,best_candidate_state,initial_failure_origin,final_failure_origin,baseline_state,baseline_error_signatures,repair_attempts,regeneration_attempts,total_llm_attempts,llm_input_tokens,llm_output_tokens,llm_total_tokens,llm_call_count,token_usage_by_prompt,build_attempts,repair_status,initial_repair_prompt_strategy,final_repair_prompt_strategy,prompt_switch_count,rollback_count,repeated_error_signature,repeated_code_detected,no_progress_count,repair_stopped_reason,regenerated_after_repair_fail,target_test_passed,module_tests_passed,started_at,finished_at,target_passed_at,target_pass_elapsed_seconds,module_passed_at,module_pass_elapsed_seconds,first_passed_at,first_pass_elapsed_seconds,new_module_failures,existing_baseline_failures,best_candidate_hash,experiment_workspace,workspace_deleted,repo_cache_path,repo_cache_deleted,checkpoint_directory,build_tool,module_path,focal_class,focal_class_path,generated_test_path,compilation,test_passed,test_fail_reason,compile_errors,test_failures,test_errors,coverage_branch,coverage_line,coverage_method,mutation_score,mutations_total,mutations_killed,mutations_survived,test_smell_total,test_smell_details,elapsed_seconds,error,java_version,java_home,java_selection_reason,coverage_error,mutation_error,smell_error
Qwen-2.5-7b-v2,zero-shot,,100077276,,,,,,,,,,,,,,,,,,,,,,,,,,,,20260711-041116,repo_shard_00,100077276_2,100077276_2,100077276,/home/cuongpv/ARROW/classes2test/dataset/100077276/100077276_2.json,https://github.com/kermitt2/biblio-glutton,biblio-glutton,kermitt2,100077276,repo_sample,/home/cuongpv/ARROW/ARROW/runs/100077276/100077276_2/Qwen-2.5-7b-v2/zero-shot,/home/cuongpv/ARROW/ARROW/runs/100077276/100077276_2/reports,Qwen-2.5-7b-v2,ollama/Qwen-2.5-7b-v2,zero-shot,,,,,,,,,,,0,0,0,0,{},,FAILED,,,,,,,,,,,,2026-07-10T21:11:16.034788+00:00,2026-07-10T21:11:18.018275+00:00,,,,,,,,,,/home/cuongpv/ARROW/ARROW/runs/100077276/100077276_2/Qwen-2.5-7b-v2/zero-shot/workspace,True,/home/cuongpv/ARROW/ARROW/repos/100077276,False,,,,,,,,,,,,,,,,,,,,,,1.984,FileNotFoundError: Cannot resolve focal class path: lookup/src/main/java/com/scienceminer/lookup/utils/grobid/GrobidResponseStaxHandler.java,,,,,,
Qwen-2.5-7b-v2,zero-shot-project-aware,,100077276,,,,,,,,,,,,,,,,,,,,,,,,,,,,20260711-041116,repo_shard_00,100077276_2,100077276_2,100077276,/home/cuongpv/ARROW/classes2test/dataset/100077276/100077276_2.json,https://github.com/kermitt2/biblio-glutton,biblio-glutton,kermitt2,100077276,repo_sample,/home/cuongpv/ARROW/ARROW/runs/100077276/100077276_2/Qwen-2.5-7b-v2/zero-shot-project-aware,/home/cuongpv/ARROW/ARROW/runs/100077276/100077276_2/reports,Qwen-2.5-7b-v2,ollama/Qwen-2.5-7b-v2,zero-shot-project-aware,,,,,,,,,,,0,0,0,0,{},,FAILED,,,,,,,,,,,,2026-07-10T21:11:18.030429+00:00,2026-07-10T21:11:18.070127+00:00,,,,,,,,,,/home/cuongpv/ARROW/ARROW/runs/100077276/100077276_2/Qwen-2.5-7b-v2/zero-shot-project-aware/workspace,True,/home/cuongpv/ARROW/ARROW/repos/100077276,False,,,,,,,,,,,,,,,,,,,,,,0.041,FileNotFoundError: Cannot resolve focal class path: lookup/src/main/java/com/scienceminer/lookup/utils/grobid/GrobidResponseStaxHandler.java,,,,,,
Qwen-2.5-7b-v2,few-shot,,100077276,,,,,,,,,,,,,,,,,,,,,,,,,,,,20260711-041116,repo_shard_00,100077276_2,100077276_2,100077276,/home/cuongpv/ARROW/classes2test/dataset/100077276/100077276_2.json,https://github.com/kermitt2/biblio-glutton,biblio-glutton,kermitt2,100077276,repo_sample,/home/cuongpv/ARROW/ARROW/runs/100077276/100077276_2/Qwen-2.5-7b-v2/few-shot,/home/cuongpv/ARROW/ARROW/runs/100077276/100077276_2/reports,Qwen-2.5-7b-v2,ollama/Qwen-2.5-7b-v2,few-shot,,,,,,,,,,,0,0,0,0,{},,FAILED,,,,,,,,,,,,2026-07-10T21:11:18.080746+00:00,2026-07-10T21:11:18.113147+00:00,,,,,,,,,,/home/cuongpv/ARROW/ARROW/runs/100077276/100077276_2/Qwen-2.5-7b-v2/few-shot/workspace,True,/home/cuongpv/ARROW/ARROW/repos/100077276,False,,,,,,,,,,,,,,,,,,,,,,0.033,FileNotFoundError: Cannot resolve focal class path: lookup/src/main/java/com/scienceminer/lookup/utils/grobid/GrobidResponseStaxHandler.java,,,,,,
Qwen-2.5-7b-v2,zero-shot,True,10016717,HomeController,,100.00,100.00,100.00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20260711-035939,repo_shard_00,10016717_17,10016717_17,10016717,/home/cuongpv/ARROW/classes2test/dataset/10016717/10016717_17.json,https://github.com/hotblac/spanners,spanners,hotblac,10016717,repo_sample,/home/cuongpv/ARROW/ARROW/runs/10016717/10016717_17/Qwen-2.5-7b-v2/zero-shot,/home/cuongpv/ARROW/ARROW/runs/10016717/10016717_17/reports,Qwen-2.5-7b-v2,ollama/Qwen-2.5-7b-v2,zero-shot,TARGET_TEST_PASSED,MODULE_TESTS_PASSED,,UNKNOWN,UNKNOWN,MODULE_TESTS_PASSED,,,,,1235,134,1369,1,"{'generation:zero-shot': {'input_tokens': 1235, 'output_tokens': 134, 'total_tokens': 1369, 'calls': 1}}",,NOT_NEEDED,,,,,,,,,,True,True,2026-07-10T20:59:39.061620+00:00,2026-07-10T21:00:40.378403+00:00,2026-07-10T21:00:17.574953+00:00,38.519,2026-07-10T21:00:26.181035+00:00,47.125,2026-07-10T21:00:17.574953+00:00,38.519,,,,/home/cuongpv/ARROW/ARROW/runs/10016717/10016717_17/Qwen-2.5-7b-v2/zero-shot/workspace,True,/home/cuongpv/ARROW/ARROW/repos/10016717,True,,maven,spanners-mvc,HomeController,spanners-mvc/src/main/java/org/dontpanic/spanners/springmvc/controllers/HomeController.java,/home/cuongpv/ARROW/ARROW/runs/10016717/10016717_17/Qwen-2.5-7b-v2/zero-shot/workspace/spanners-mvc/src/test/java/org/dontpanic/spanners/springmvc/controllers/HomeControllerTest_9203662f.java,True,True,,0,0,0,,100.00,100.00,100.00,1,1,,1,Assertion Roulette=0;Conditional Test Logic=0;Constructor Initialization=0;Default Test=0;EmptyTest=0;Exception Handling=0;General Fixture=0;Mystery Guest=0;Print Statement=0;Redundant Assertion=0;Sensitive Equality=0;Verbose Test=0;Sleepy Test=0;Eager Test=0;Lazy Test=0;Duplicate Assert=0;Unknown Test=0;IgnoredTest=0;Resource Optimism=0;Magic Number Test=1;Dependent Test=0,61.322,,8,/home/cuongpv/ARROW/Java-version/java-8,matched build.java_homes.java-8,,,
Qwen-2.5-7b-v2,zero-shot,True,10016717,HomeController,,100.00,100.00,100.00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20260711-041116,repo_shard_00,10016717_17,10016717_17,10016717,/home/cuongpv/ARROW/classes2test/dataset/10016717/10016717_17.json,https://github.com/hotblac/spanners,spanners,hotblac,10016717,repo_sample,/home/cuongpv/ARROW/ARROW/runs/10016717/10016717_17/Qwen-2.5-7b-v2/zero-shot,/home/cuongpv/ARROW/ARROW/runs/10016717/10016717_17/reports,Qwen-2.5-7b-v2,ollama/Qwen-2.5-7b-v2,zero-shot,TARGET_TEST_PASSED,MODULE_TESTS_PASSED,,UNKNOWN,UNKNOWN,MODULE_TESTS_PASSED,,,,,1233,133,1366,1,"{'generation:zero-shot': {'input_tokens': 1233, 'output_tokens': 133, 'total_tokens': 1366, 'calls': 1}}",,NOT_NEEDED,,,,,,,,,,True,True,2026-07-10T21:11:18.123490+00:00,2026-07-10T21:12:13.882842+00:00,2026-07-10T21:11:50.306459+00:00,32.184,2026-07-10T21:11:59.192312+00:00,41.07,2026-07-10T21:11:50.306459+00:00,32.184,,,,/home/cuongpv/ARROW/ARROW/runs/10016717/10016717_17/Qwen-2.5-7b-v2/zero-shot/workspace,True,/home/cuongpv/ARROW/ARROW/repos/10016717,False,,maven,spanners-mvc,HomeController,spanners-mvc/src/main/java/org/dontpanic/spanners/springmvc/controllers/HomeController.java,/home/cuongpv/ARROW/ARROW/runs/10016717/10016717_17/Qwen-2.5-7b-v2/zero-shot/workspace/spanners-mvc/src/test/java/org/dontpanic/spanners/springmvc/controllers/HomeControllerTest_64ed760f.java,True,True,,0,0,0,,100.00,100.00,100.00,1,1,,1,Assertion Roulette=0;Conditional Test Logic=0;Constructor Initialization=0;Default Test=0;EmptyTest=0;Exception Handling=0;General Fixture=0;Mystery Guest=0;Print Statement=0;Redundant Assertion=0;Sensitive Equality=0;Verbose Test=0;Sleepy Test=0;Eager Test=0;Lazy Test=0;Duplicate Assert=0;Unknown Test=0;IgnoredTest=0;Resource Optimism=0;Magic Number Test=1;Dependent Test=0,55.76,,8,/home/cuongpv/ARROW/Java-version/java-8,matched build.java_homes.java-8,,,
Qwen-2.5-7b-v2,zero-shot-project-aware,True,10016717,HomeController,,100.00,100.00,100.00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20260711-041116,repo_shard_00,10016717_17,10016717_17,10016717,/home/cuongpv/ARROW/classes2test/dataset/10016717/10016717_17.json,https://github.com/hotblac/spanners,spanners,hotblac,10016717,repo_sample,/home/cuongpv/ARROW/ARROW/runs/10016717/10016717_17/Qwen-2.5-7b-v2/zero-shot-project-aware,/home/cuongpv/ARROW/ARROW/runs/10016717/10016717_17/reports,Qwen-2.5-7b-v2,ollama/Qwen-2.5-7b-v2,zero-shot-project-aware,TARGET_TEST_PASSED,MODULE_TESTS_PASSED,,UNKNOWN,UNKNOWN,MODULE_TESTS_PASSED,,,,,1276,132,1408,1,"{'generation:zero-shot-project-aware': {'input_tokens': 1276, 'output_tokens': 132, 'total_tokens': 1408, 'calls': 1}}",,NOT_NEEDED,,,,,,,,,,True,True,2026-07-10T21:12:13.911960+00:00,2026-07-10T21:13:01.723476+00:00,2026-07-10T21:12:38.438804+00:00,24.528,2026-07-10T21:12:47.271466+00:00,33.36,2026-07-10T21:12:38.438804+00:00,24.528,,,,/home/cuongpv/ARROW/ARROW/runs/10016717/10016717_17/Qwen-2.5-7b-v2/zero-shot-project-aware/workspace,True,/home/cuongpv/ARROW/ARROW/repos/10016717,False,,maven,spanners-mvc,HomeController,spanners-mvc/src/main/java/org/dontpanic/spanners/springmvc/controllers/HomeController.java,/home/cuongpv/ARROW/ARROW/runs/10016717/10016717_17/Qwen-2.5-7b-v2/zero-shot-project-aware/workspace/spanners-mvc/src/test/java/org/dontpanic/spanners/springmvc/controllers/HomeControllerTest_b4bc83a7.java,True,True,,0,0,0,,100.00,100.00,100.00,1,1,,1,Assertion Roulette=0;Conditional Test Logic=0;Constructor Initialization=0;Default Test=0;EmptyTest=0;Exception Handling=0;General Fixture=0;Mystery Guest=0;Print Statement=0;Redundant Assertion=0;Sensitive Equality=0;Verbose Test=0;Sleepy Test=0;Eager Test=0;Lazy Test=0;Duplicate Assert=0;Unknown Test=0;IgnoredTest=0;Resource Optimism=0;Magic Number Test=1;Dependent Test=0,47.812,,8,/home/cuongpv/ARROW/Java-version/java-8,matched build.java_homes.java-8,,,
Qwen-2.5-7b-v2,few-shot,True,10016717,HomeController,,100.00,100.00,100.00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20260711-041116,repo_shard_00,10016717_17,10016717_17,10016717,/home/cuongpv/ARROW/classes2test/dataset/10016717/10016717_17.json,https://github.com/hotblac/spanners,spanners,hotblac,10016717,repo_sample,/home/cuongpv/ARROW/ARROW/runs/10016717/10016717_17/Qwen-2.5-7b-v2/few-shot,/home/cuongpv/ARROW/ARROW/runs/10016717/10016717_17/reports,Qwen-2.5-7b-v2,ollama/Qwen-2.5-7b-v2,few-shot,TARGET_TEST_PASSED,MODULE_TESTS_PASSED,,UNKNOWN,UNKNOWN,MODULE_TESTS_PASSED,,,,,1247,133,1380,1,"{'generation:few-shot': {'input_tokens': 1247, 'output_tokens': 133, 'total_tokens': 1380, 'calls': 1}}",,NOT_NEEDED,,,,,,,,,,True,True,2026-07-10T21:13:01.755199+00:00,2026-07-10T21:13:51.531476+00:00,2026-07-10T21:13:28.187677+00:00,26.434,2026-07-10T21:13:36.777886+00:00,35.024,2026-07-10T21:13:28.187677+00:00,26.434,,,,/home/cuongpv/ARROW/ARROW/runs/10016717/10016717_17/Qwen-2.5-7b-v2/few-shot/workspace,True,/home/cuongpv/ARROW/ARROW/repos/10016717,False,,maven,spanners-mvc,HomeController,spanners-mvc/src/main/java/org/dontpanic/spanners/springmvc/controllers/HomeController.java,/home/cuongpv/ARROW/ARROW/runs/10016717/10016717_17/Qwen-2.5-7b-v2/few-shot/workspace/spanners-mvc/src/test/java/org/dontpanic/spanners/springmvc/controllers/HomeControllerTest_8b090cb2.java,True,True,,0,0,0,,100.00,100.00,100.00,1,1,,1,Assertion Roulette=0;Conditional Test Logic=0;Constructor Initialization=0;Default Test=0;EmptyTest=0;Exception Handling=0;General Fixture=0;Mystery Guest=0;Print Statement=0;Redundant Assertion=0;Sensitive Equality=0;Verbose Test=0;Sleepy Test=0;Eager Test=0;Lazy Test=0;Duplicate Assert=0;Unknown Test=0;IgnoredTest=0;Resource Optimism=0;Magic Number Test=1;Dependent Test=0,49.777,,8,/home/cuongpv/ARROW/Java-version/java-8,matched build.java_homes.java-8,,,
qwen-coder-2.5-7b,zero-shot,False,100295611,EventMessage,,,,,2,,,,,,,,,,,,,,,,,,,,,,20260711-005828,repo_shard_00,100295611_32,100295611_32,100295611,/home/cuongpv/ARROW/classes2test/dataset/100295611/100295611_32.json,https://github.com/ralscha/wamp2spring,wamp2spring,ralscha,100295611,repo_sample,/home/cuongpv/ARROW/ARROW/runs/100295611/100295611_32/qwen-coder-2.5-7b/zero-shot,/home/cuongpv/ARROW/ARROW/runs/100295611/100295611_32/reports,qwen-coder-2.5-7b,ollama/qwen-unit-test-elite-dataset-07-07:latest,zero-shot,COMPILE_FAILED,COMPILE_FAILED,COMPILE_FAILED,GENERATED_TEST,GENERATED_TEST,,,3,1,4,,,,,,1,REGENERATED,compile-error-focused,minimal-test,3,3,True,True,0,regeneration_exhausted,True,False,False,2026-07-10T17:59:39.301975+00:00,2026-07-10T18:17:04.359633+00:00,,,,,,,,,c60c638c1302bad2dda3964db1851ddca2be3a598faa402087bbb6a24452ad14,/home/cuongpv/ARROW/ARROW/runs/100295611/100295611_32/qwen-coder-2.5-7b/zero-shot/workspace,True,/home/cuongpv/ARROW/ARROW/repos/100295611,True,/home/cuongpv/ARROW/ARROW/runs/100295611/100295611_32/qwen-coder-2.5-7b/zero-shot/repair/checkpoints,maven,wamp2spring-core,EventMessage,wamp2spring-core/src/main/java/ch/rasc/wamp2spring/message/EventMessage.java,/home/cuongpv/ARROW/ARROW/runs/100295611/100295611_32/qwen-coder-2.5-7b/zero-shot/workspace/wamp2spring-core/src/test/java/ch/rasc/wamp2spring/message/EventMessageTest_9ca2d3c6.java,False,False,,,,,,,,,,,,,,1045.058,,17,/home/cuongpv/ARROW/Java-version/java-17,matched build.java_homes.java-17,,,
Qwen-2.5-7b-v2,zero-shot,,100295611,EventMessage,,,,,,,,,,,,,,,,,,,,,,,,,,,20260711-041116,repo_shard_00,100295611_32,100295611_32,100295611,/home/cuongpv/ARROW/classes2test/dataset/100295611/100295611_32.json,https://github.com/ralscha/wamp2spring,wamp2spring,ralscha,100295611,repo_sample,/home/cuongpv/ARROW/ARROW/runs/100295611/100295611_32/Qwen-2.5-7b-v2/zero-shot,/home/cuongpv/ARROW/ARROW/runs/100295611/100295611_32/reports,Qwen-2.5-7b-v2,ollama/Qwen-2.5-7b-v2,zero-shot,,,,,,,,,,,0,0,0,0,{},,FAILED,,,,,,,,,,,,2026-07-10T21:13:51.571635+00:00,2026-07-10T21:24:07.574086+00:00,,,,,,,,,,/home/cuongpv/ARROW/ARROW/runs/100295611/100295611_32/Qwen-2.5-7b-v2/zero-shot/workspace,True,/home/cuongpv/ARROW/ARROW/repos/100295611,False,,maven,wamp2spring-core,EventMessage,wamp2spring-core/src/main/java/ch/rasc/wamp2spring/message/EventMessage.java,/home/cuongpv/ARROW/ARROW/runs/100295611/100295611_32/Qwen-2.5-7b-v2/zero-shot/workspace/wamp2spring-core/src/test/java/ch/rasc/wamp2spring/message/EventMessageTest_225659e1.java,,,,,,,,,,,,,,,,616.003,APIConnectionError: litellm.APIConnectionError: OllamaException - litellm.Timeout: Connection timed out after 600.0 seconds.,17,/home/cuongpv/ARROW/Java-version/java-17,matched build.java_homes.java-17,,,
Qwen-2.5-7b-v2,zero-shot-project-aware,,100295611,EventMessage,,,,,,,,,,,,,,,,,,,,,,,,,,,20260711-041116,repo_shard_00,100295611_32,100295611_32,100295611,/home/cuongpv/ARROW/classes2test/dataset/100295611/100295611_32.json,https://github.com/ralscha/wamp2spring,wamp2spring,ralscha,100295611,repo_sample,/home/cuongpv/ARROW/ARROW/runs/100295611/100295611_32/Qwen-2.5-7b-v2/zero-shot-project-aware,/home/cuongpv/ARROW/ARROW/runs/100295611/100295611_32/reports,Qwen-2.5-7b-v2,ollama/Qwen-2.5-7b-v2,zero-shot-project-aware,,,,,,,,,,,0,0,0,0,{},,FAILED,,,,,,,,,,,,2026-07-10T21:24:07.612201+00:00,2026-07-10T21:34:21.187232+00:00,,,,,,,,,,/home/cuongpv/ARROW/ARROW/runs/100295611/100295611_32/Qwen-2.5-7b-v2/zero-shot-project-aware/workspace,True,/home/cuongpv/ARROW/ARROW/repos/100295611,False,,maven,wamp2spring-core,EventMessage,wamp2spring-core/src/main/java/ch/rasc/wamp2spring/message/EventMessage.java,/home/cuongpv/ARROW/ARROW/runs/100295611/100295611_32/Qwen-2.5-7b-v2/zero-shot-project-aware/workspace/wamp2spring-core/src/test/java/ch/rasc/wamp2spring/message/EventMessageTest_0e55ab63.java,,,,,,,,,,,,,,,,613.576,APIConnectionError: litellm.APIConnectionError: OllamaException - litellm.Timeout: Connection timed out after 600.0 seconds.,17,/home/cuongpv/ARROW/Java-version/java-17,matched build.java_homes.java-17,,,
