agent_name,model,generation_prompt_strategy,build_tool,total_inputs,compiled_count,test_passed_count,compilation_rate,test_pass_rate,avg_elapsed_seconds,avg_target_pass_elapsed_seconds,avg_module_pass_elapsed_seconds,avg_first_pass_elapsed_seconds,avg_llm_input_tokens,avg_llm_output_tokens,avg_llm_total_tokens
Qwen-2.5-7b-v2,ollama/Qwen-2.5-7b-v2,zero-shot,,15,0,0,0,0,5.964933333333334,,,,0,0,0
Qwen-2.5-7b-v2,ollama/Qwen-2.5-7b-v2,zero-shot-project-aware,,15,0,0,0,0,1.4942666666666669,,,,0,0,0
Qwen-2.5-7b-v2,ollama/Qwen-2.5-7b-v2,few-shot,,15,0,0,0,0,1.2144000000000001,,,,0,0,0
Qwen-2.5-7b-v2,ollama/Qwen-2.5-7b-v2,zero-shot,maven,60,17,6,0.2833333333333333,0.1,292.23384999999996,159.05916666666667,192.58816666666667,159.05916666666667,12849.716666666667,1242.7166666666667,14092.433333333332
Qwen-2.5-7b-v2,ollama/Qwen-2.5-7b-v2,zero-shot-project-aware,maven,58,17,8,0.29310344827586204,0.13793103448275862,272.8561896551724,115.360875,141.72175000000001,115.360875,11570.413793103447,1337.2068965517242,12907.620689655172
Qwen-2.5-7b-v2,ollama/Qwen-2.5-7b-v2,few-shot,maven,57,19,7,0.3333333333333333,0.12280701754385964,262.3154385964912,219.18800000000002,248.13385714285712,219.18800000000002,12689.754385964912,1240.017543859649,13929.771929824561
qwen-coder-2.5-7b,ollama/qwen-unit-test-elite-dataset-07-07:latest,zero-shot,maven,14,5,1,0.35714285714285715,0.07142857142857142,284.3584285714286,46.517,50.364,46.517,,,
qwen-coder-2.5-7b,ollama/qwen-unit-test-elite-dataset-07-07:latest,zero-shot,gradle,2,1,0,0.5,0,535.4085,,,,,,
Qwen-2.5-7b-v2,ollama/Qwen-2.5-7b-v2,zero-shot,gradle,19,6,0,0.3157894736842105,0,250.96315789473684,,,,5337.473684210527,971.0526315789474,6308.526315789473
Qwen-2.5-7b-v2,ollama/Qwen-2.5-7b-v2,zero-shot-project-aware,gradle,18,8,1,0.4444444444444444,0.05555555555555555,230.07188888888888,66.045,68.772,66.045,3903.3333333333335,796.8333333333334,4700.166666666667
Qwen-2.5-7b-v2,ollama/Qwen-2.5-7b-v2,few-shot,gradle,18,8,0,0.4444444444444444,0,195.00738888888887,,,,5347.888888888889,1042.5,6390.388888888889
qwen-coder-2.5-7b,ollama/qwen-unit-test-elite-dataset-07-07:latest,zero-shot,,3,0,0,0,0,4.523,,,,,,
Qwen-2.5-7b-v2,ollama/Qwen-2.5-7b-v2,zero-shot,unknown,1,0,0,0,0,3.925,,,,0,0,0
Qwen-2.5-7b-v2,ollama/Qwen-2.5-7b-v2,zero-shot-project-aware,unknown,1,0,0,0,0,0.16,,,,0,0,0
Qwen-2.5-7b-v2,ollama/Qwen-2.5-7b-v2,few-shot,unknown,1,0,0,0,0,0.161,,,,0,0,0
